iter	Passed	Remaining
0	2	215
1	3	194
2	5	182
3	7	178
4	9	183
5	11	176
6	15	207
7	16	195
8	18	185
9	20	180
10	21	173
11	22	166
12	24	162
13	25	158
14	30	171
15	31	166
16	33	163
17	34	158
18	36	153
19	37	149
20	38	146
21	41	145
22	42	143
23	46	147
24	47	143
25	49	140
26	50	137
27	52	135
28	56	138
29	61	142
30	62	139
31	64	136
32	66	134
33	68	133
34	79	148
35	81	145
36	83	142
37	88	143
38	93	145
39	94	142
40	96	139
41	97	134
42	99	131
43	100	127
44	101	124
45	103	121
46	104	118
47	108	117
48	110	114
49	111	111
50	113	108
51	114	105
52	116	103
53	118	100
54	119	97
55	122	96
56	124	94
57	126	91
58	127	88
59	128	85
60	131	83
61	138	84
62	140	82
63	142	80
64	144	77
65	145	75
66	147	72
67	148	69
68	153	69
69	155	66
70	157	64
71	159	61
72	160	59
73	162	57
74	163	54
75	166	52
76	167	50
77	170	47
78	172	45
79	174	43
80	176	41
81	177	38
82	178	36
83	182	34
84	185	32
85	187	30
86	189	28
87	191	26
88	192	23
89	193	21
90	198	19
91	200	17
92	202	15
93	204	13
94	205	10
95	207	8
96	208	6
97	209	4
98	214	2
99	219	0
