iter	Passed	Remaining
0	156	156691
1	158	79214
2	160	53317
3	165	41099
4	167	33315
5	169	28053
6	171	24345
7	173	21555
8	175	19341
9	187	18586
10	189	17041
11	191	15752
12	196	14941
13	198	14009
14	200	13193
15	203	12519
16	205	11877
17	207	11305
18	212	10985
19	214	10528
20	217	10145
21	220	9787
22	222	9431
23	223	9101
24	229	8932
25	231	8661
26	233	8398
27	234	8152
28	236	7926
29	238	7716
30	244	7651
31	248	7508
32	250	7327
33	251	7155
34	253	6993
35	259	6942
36	261	6800
37	263	6673
38	265	6547
39	269	6471
40	276	6458
41	278	6342
42	280	6234
43	282	6132
44	284	6034
45	291	6046
46	293	5959
47	296	5881
48	299	5812
49	301	5726
50	307	5726
51	309	5645
52	311	5569
53	313	5493
54	315	5421
55	321	5418
56	323	5353
57	332	5394
58	338	5399
59	341	5354
60	343	5290
61	345	5229
62	347	5169
63	353	5164
64	355	5109
65	358	5070
66	360	5016
67	362	4971
68	377	5092
69	380	5050
70	389	5090
71	392	5063
72	394	5013
73	457	5719
74	473	5839
75	485	5899
76	490	5875
77	492	5819
78	510	5946
79	522	6011
80	525	5961
81	537	6014
82	538	5948
83	542	5918
84	545	5870
85	548	5825
86	552	5801
87	555	5753
88	557	5707
89	559	5657
90	561	5607
91	563	5558
92	569	5551
93	571	5509
94	573	5466
95	577	5439
96	579	5395
97	585	5385
98	587	5348
99	591	5319
100	593	5278
101	595	5245
102	601	5241
103	605	5215
104	607	5176
105	611	5154
106	619	5166
107	620	5128
108	622	5091
109	624	5056
110	626	5020
111	641	5083
112	649	5095
113	651	5062
114	653	5027
115	655	4992
116	659	4974
117	661	4943
118	663	4910
119	665	4878
120	667	4846
121	668	4811
122	675	4818
123	680	4807
124	682	4774
125	683	4743
126	693	4769
127	713	4862
128	715	4832
129	717	4802
130	727	4823
131	729	4793
132	733	4784
133	764	4943
134	777	4981
135	779	4952
136	782	4930
137	790	4935
138	791	4905
139	794	4881
140	797	4856
141	798	4823
142	822	4926
143	824	4898
144	825	4869
145	829	4849
146	830	4821
147	842	4850
148	844	4824
149	870	4931
150	872	4903
151	874	4877
152	876	4854
153	878	4827
154	885	4830
155	889	4811
156	891	4785
157	893	4758
158	901	4765
159	904	4748
160	905	4718
161	907	4695
162	910	4677
163	918	4682
164	957	4845
165	959	4820
166	967	4823
167	969	4799
168	972	4783
169	974	4758
170	985	4778
171	987	4753
172	991	4741
173	993	4718
174	995	4695
175	998	4673
176	999	4649
177	1006	4649
178	1009	4628
179	1011	4609
180	1016	4598
181	1019	4582
182	1021	4559
183	1023	4538
184	1026	4520
185	1033	4522
186	1035	4500
187	1038	4485
188	1040	4464
189	1042	4443
190	1049	4446
191	1052	4427
192	1053	4406
193	1055	4386
194	1057	4367
195	1066	4374
196	1068	4354
197	1070	4334
198	1072	4315
199	1074	4296
200	1081	4300
201	1083	4281
202	1085	4262
203	1087	4243
204	1089	4224
205	1096	4226
206	1099	4212
207	1101	4194
208	1104	4180
209	1112	4183
210	1114	4166
211	1116	4148
212	1118	4131
213	1120	4113
214	1125	4108
215	1128	4096
216	1130	4080
217	1132	4063
218	1134	4046
219	1136	4031
220	1141	4023
221	1143	4006
222	1145	3990
223	1147	3974
224	1149	3958
225	1160	3975
226	1162	3959
227	1164	3942
228	1166	3927
229	1169	3916
230	1171	3901
231	1173	3885
232	1175	3870
233	1178	3856
234	1185	3859
235	1187	3843
236	1189	3828
237	1191	3815
238	1193	3800
239	1200	3802
240	1204	3792
241	1206	3778
242	1208	3765
243	1215	3767
244	1217	3753
245	1219	3738
246	1221	3723
247	1223	3708
248	1225	3694
249	1232	3697
250	1234	3683
251	1236	3669
252	1238	3655
253	1239	3641
254	1247	3643
255	1249	3630
256	1251	3618
257	1253	3604
258	1255	3591
259	1262	3593
260	1264	3581
261	1266	3567
262	1268	3555
263	1270	3543
264	1277	3544
265	1279	3531
266	1281	3518
267	1283	3506
268	1285	3493
269	1292	3494
270	1296	3487
271	1298	3474
272	1300	3464
273	1303	3453
274	1306	3443
275	1307	3430
276	1309	3418
277	1311	3406
278	1313	3394
279	1320	3396
280	1323	3385
281	1325	3374
282	1327	3362
283	1328	3350
284	1336	3352
285	1338	3341
286	1340	3330
287	1342	3319
288	1350	3322
289	1352	3311
290	1354	3299
291	1357	3291
292	1359	3280
293	1366	3282
294	1369	3272
295	1371	3261
296	1373	3250
297	1391	3278
298	1398	3279
299	1401	3269
300	1415	3288
301	1417	3277
302	1420	3266
303	1428	3271
304	1430	3260
305	1432	3249
306	1436	3241
307	1450	3259
308	1452	3248
309	1459	3248
310	1465	3246
311	1467	3236
312	1469	3226
313	1477	3227
314	1479	3216
315	1481	3206
316	1483	3195
317	1485	3184
318	1492	3185
319	1495	3178
320	1497	3167
321	1500	3160
322	1505	3154
323	1507	3144
324	1508	3133
325	1510	3123
326	1512	3113
327	1520	3114
328	1522	3104
329	1524	3095
330	1526	3084
331	1528	3075
332	1536	3076
333	1538	3067
334	1539	3056
335	1541	3046
336	1543	3037
337	1551	3037
338	1553	3028
339	1554	3018
340	1557	3009
341	1558	2999
342	1560	2988
343	1567	2989
344	1569	2979
345	1571	2970
346	1573	2960
347	1574	2950
348	1582	2951
349	1585	2943
350	1586	2934
351	1590	2927
352	1597	2928
353	1599	2918
354	1600	2908
355	1602	2898
356	1603	2888
357	1605	2878
358	1606	2869
359	1613	2868
360	1615	2860
361	1617	2850
362	1618	2840
363	1620	2831
364	1622	2822
365	1628	2820
366	1629	2811
367	1631	2801
368	1632	2792
369	1637	2788
370	1644	2787
371	1645	2778
372	1647	2768
373	1648	2759
374	1650	2750
375	1651	2741
376	1653	2731
377	1659	2730
378	1661	2721
379	1662	2712
380	1663	2703
381	1665	2693
382	1667	2686
383	1674	2685
384	1675	2676
385	1677	2667
386	1678	2658
387	1680	2651
388	1682	2642
389	1683	2633
390	1690	2632
391	1692	2625
392	1694	2617
393	1698	2613
394	1705	2611
395	1706	2603
396	1708	2594
397	1709	2585
398	1711	2577
399	1713	2569
400	1714	2561
401	1721	2560
402	1722	2551
403	1724	2543
404	1726	2535
405	1727	2527
406	1728	2518
407	1730	2510
408	1736	2509
409	1738	2501
410	1739	2493
411	1741	2484
412	1742	2476
413	1744	2468
414	1745	2460
415	1748	2454
416	1749	2446
417	1751	2438
418	1752	2430
419	1754	2422
420	1755	2414
421	1756	2406
422	1763	2405
423	1765	2397
424	1778	2406
425	1781	2400
426	1783	2393
427	1785	2386
428	1788	2380
429	1793	2377
430	1794	2369
431	1796	2361
432	1797	2354
433	1799	2346
434	1800	2338
435	1802	2331
